"","Timestamp","Entering Grade Level","District","Birth Month","OLSAT Verbal Score","OLSAT Verbal Percentile","NNAT Non Verbal Raw Score","NNAT Non Verbal Percentile","Overall Score","School Preferences","School Assigned","Will you enroll there?"
"96",2017-06-01,"0",22,"April","25",98,"38",99,99,"Brooklyn School of Inquiry","Brooklyn School of Inquiry","Yes"
"97",2017-06-01,"0",3,"January","23",93,"38",99,97,"539, 334, 166, 77, 11, 163, 12","163","Maybe"
"98",2017-06-01,"2",2,"October","28",99,"NA",99,99,"Anderson","None","Yes"
"99",2017-06-01,"0",2,"July","83",83,"99",99,95,"LL, PS11, PS33","none",NA
"100",2017-06-01,"0",14,"May","26",99,"44",99,99,"NEST","NEST","Yes"
"101",2017-06-01,"2",3,"April","29",99,"44",99,99,"Anderson, Nest, Tag, BSI, Q300, PS166, PS163","PS 163","Maybe"
"102",2017-06-01,"1",3,"December","27",99,"43",99,99,"All CW","Q300","Yes"
"103",2017-06-01,"0",2,"April","29",99,"42",99,99,"Anderson, Nest+M, Lower Lab, BSI, 33,11,111","Lower Lab","Yes"
"104",2017-06-01,"0",2,"January","28",0,"41",0,99,"Anderson, NEST+T, Lower Lab, TAG","Anderson","Yes"
"105",2017-06-02,"1",2,"March","**",98,"**",98,98,NA,NA,NA
"106",2017-06-02,"0",2,"July","---",97,"---",98,98,"NEST,LL,Anderson,TAG,PS130,PS11,PS124","PS130","Maybe"
"107",2017-06-02,"0",3,"April","23",96,"39",99,98,NA,"PS166","Yes"
"108",2017-06-04,"0",2,"April","27",99,"37",99,99,"NEST/PS33","NEST","Yes"
"109",2017-06-04,"1",3,"November","-",99,"-",99,99,"Anderson, NEST, PS 166, TAG, LL","PS 166","Yes"
"110",2017-06-06,"0",2,"April","25",0,"39",99,99,"LL, Anderson, Nest+m, 198","Lower Lab","Yes"
"111",2017-06-06,"0",26,"January","24",96,"45",99,98,NA,NA,"Maybe"
"112",2017-06-07,"0",2,"December","99",99,"99",99,99,NA,NA,"Yes"
"113",1899-12-31,"1",2,"August","30",99,"44",99,99,"Lower Lab, Anderson, PS 11, NEST + m, Ps 33","Lower lab (off waitlist)","Yes"
"114",2017-06-21,"0",20,"July","97",97,"97",99,98,"PS229","Ps205","Yes"
"115",2017-09-14,"0",32,"February","26",99,"40",99,99,NA,NA,"Maybe"
"116",2017-11-19,"0",4,"April","19",84,"33",95,91,"Ps 102","Ps102","Yes"
"117",2019-01-11,"0",2,"January","24",97,"44",99,98,"Ps11","Ps33","Yes"
"118",2017-03-27,"1",13,"August","30",99,"46",99,99,"Anderson?",NA,"at LL now, has a sib ent K w/ 99"
"119",2018-03-27,"1",1,"March","26",99,"47",99,99,"1111",NA,NA
"120",2018-03-27,"1",2,"February","26",99,"47",99,99,NA,NA,NA
"121",2018-03-27,"1",2,"January","25",99,"45",99,99,"NEST+M",NA,"Yes"
"122",2018-03-27,"1",3,"January","28",98,"45",0,99,"NEST,Anderson,TAG,Q300,BSI","TAG",NA
"123",2018-03-27,"1",2,"May","25",99,"NA",99,99,"NEST+M",NA,NA
"124",2018-03-27,"1",2,"January","27",99,"43",99,99,NA,NA,NA
"125",2018-03-27,"1",2,"July","25",99,"42",99,99,"Anderson, TAG, Nest",NA,NA
"126",2018-03-27,"1",2,"11","25/30",99,"40/50",99,99,"NEST, TAG, LL, PS11, PS130, PS33","TAG","Yes"
"127",2018-03-27,"1",2,"August","23",98,"39",99,99,"Lower Lab / Anderson",NA,"LL sib, sib retook & got 99 too - unsure how we'll rank"
"128",2018-03-27,"1",2,"April","25",99,"38",99,99,"NEST+M",NA,NA
"129",2018-03-27,"1",2,"April","29",99,"37",99,99,NA,NA,NA
"130",2018-03-27,"2",3,"June","29",99,"NA",99,99,"Anderson, Q300, NEST, Mamie Fay",NA,NA
"131",2018-03-27,"2",2,"August","27",98,"42",99,99,"Anderson, NEST",NA,NA
"132",2018-03-27,"2",13,"September","23",98,"42",0.99,99,"Brooklyn PS9",NA,"Yep, Sister is there"
"133",2018-03-27,"2",13,"May","0.83",99,"42",99,99,"NEST+M",NA,NA
"134",2018-03-27,"2",21,"October","26",99,"36",99,99,"BSI, PS 215","PS 215","Yes"
"135",2018-02-14,"0",30,"October","24",99,"40",99,99,"NEST,Q300,PS122,Ps85","NEST","YES"
"136",2018-03-27,"0",3,"September","24",99,"42",99,99,"Anderson, NEST+M, 166, TAG, 163","NEST+M","Yes"
"137",2018-03-27,"0",21,"August","27",98,"45",99,99,NA,NA,NA
"138",2018-03-27,"0",22,"December","27",99,"41",99,99,NA,NA,NA
"139",2018-03-27,"0",25,"July","28",99,"43",99,99,"NEST",NA,NA
